title,link,published,source,category,text,summary
"BBC finds fear, loss and hope in Sudan's ruined capital after army victory",https://www.bbc.com/news/articles/cdxgrj5rqnwo,"Tue, 01 Apr 2025 16:31:45 GMT",BBC World News,General,"BBC finds fear, loss and hope in Sudan's ruined capital after army victory

2 hours ago Share Save Barbara Plett Usher BBC News, Khartoum Share Save

Barbara Plett Usher / BBC

The battered heart of Khartoum lies eerily quiet now, after weeks of intense urban combat in the Sudanese capital. We entered the city just days after Sudan's army recaptured it from the paramilitary Rapid Support Forces (RSF), the culmination of a six-month offensive through the central part of the country. Once the commercial heart and seat of Sudan's government, Khartoum is now a burnt-out shell.

Inside the city left in ruins after two years of war

Taking back the capital was a turning point in the two-year civil war, which erupted out of a power struggle between the army and the RSF, and is estimated to have claimed at least 150,000 lives. But - as celebrations for Eid spill out into the capital's streets and people here consider the war to be over - it is not clear what direction the conflict will take now. We drove first to the presidential palace, which the RSF occupied early in the war. It was an important base for the paramilitary fighters. The floors are covered with debris and broken glass. Cushioned chairs once used for official functions stand covered with dust, a few paintings still hang on the walls, ragged chandeliers dangle from the ceilings. But almost everything else had been looted - even the electrical cables were yanked out of the walls.

Barbara Plett Usher / BBC The presidential palace, which was occupied by the RSF, was completely looted

The worst damage is at the front of the building, which was struck by RSF drones shortly after the army seized the palace. The main entrance is wrecked, dried blood still visible on the stairs, the windows now gaping holes looking out over the River Nile. ""I was really very excited to be in the Republican palace,"" one soldier told me as we walked down the grimy red carpet. ""It's my first time in this place and I waited for this place [like] the Sudanese in general. They wanted it to be free. It is symbol of our dignity."" It is also an important symbol of power for the army.

Barbara Plett Usher / BBC A restaurant delivered an Eid feast to celebrating soldiers at the presidential palace, who are being hailed as heroes by many

Soldiers sang and danced, their jubilation erupting as the Muslim Eid holiday began. A local restaurant delivered a feast for them, hailed as heroes by many in the capital. But their victory was won at enormous cost. The level of destruction in central Khartoum is stunning: government ministries, banks and towering office blocks stand blackened and burned. The tarmac at the international airport is a graveyard of smashed planes, its passport and check-in counters covered in ashes.

Barbara Plett Usher / BBC Khartoum's airport is right in the centre of the city and planes and terminal buildings have been badly damaged

We drove slowly, weaving around unexploded ordnance in the road. At one intersection body parts were in a heap, two skulls clearly visible. About 100m (328ft) down the road, a body lay in front of a damaged car. A stop at St Matthew's Cathedral, built by the British in 1908 and a place of worship for the country's minority Christian population, was a welcome reprieve. The beautifully painted ceiling is intact. A hole high in one wall showed where a shell had crashed through, a cross had fallen down. But it looked much better than many of the buildings we had seen.

Barbara Plett Usher / BBC Remarkably the inside of St Matthew's Cathedral, which is not far from the presidential palace, has largely gone untouched

A soldier cleaning up rubble on the floor told us that most of the damage was caused by shrapnel from shelling around the church. No-one destroyed the ""house of God"", he said, but the RSF fighters desecrated the building by defecating in it. He said his son was born on the first day of the war, but because of the non-stop fighting he had still not had a chance to go home and see the child. The paramilitaries also occupied the areas where diplomatic missions are located. When the fighting began, countries and companies scrambled to evacuate staff. At the entrance of the British embassy, an RSF slogan is scrawled on the wall. The bullet-proof glass of the building largely held, but it is pockmarked with many signs of impact.

Barbara Plett Usher / BBC A tattered union jack was seen near damaged buildings by the British embassy

In the car park at the back, a fleet of vehicles stands destroyed. Across the street, a UK flag hung over the staircase of a battered building, crumpled and dirty. This is Sudan's third civil war in 70 years, and in some ways, it is worse than any of the others - as previous conflicts were fought in other parts of the country. But this one has torn through the core of Sudan, hardening divisions and threatening to split the nation. Further away from the combat zone, scattered celebrations for Eid spilled into the street. For people here the war is over, even though it continues elsewhere.

Barbara Plett Usher / BBC Khartoum residents have been dressing up and celebrating Eid for the first time in two years, including these women at a local soup kitchen

The army has been accused of atrocities, and reports say tens of thousands fled the fighting in recent days. But in Khartoum, people celebrated the end of the brutal RSF occupation. The mood was also buoyant at a communal kitchen in the neighbourhood of al-Jeraif West. ""I feel like I've been re-created,"" said Osman al-Bashir, his eyes lighting up with the new reality after citing a list of the war's hardships. He told me he had learned his English from the BBC World Service. Duaa Tariq is a pro-democracy activist, part of the movement that in 2019 toppled military leader Omar al-Bashir, whose authoritarian rule had lasted nearly three decades.

She has been focusing on helping her neighbourhood survive the war. ""We're celebrating Eid for the first time in two years,"" she said. ""Everybody's dressing up, including myself! I'm overwhelmed with a lot of emotions, just like trying to learn how to live again. We feel free, we feel light, even the air smells different."" Ms Tariq struggled to keep the kitchens running during the war as food ran out, the city looted by the RSF, under siege by the army and US aid cut. Food is still scarce, but there is hope now.

""I'm feeling wonderful. I feel safe. I feel great, even though I'm hungry,"" said an elderly man, Kasim Agra. ""You know, it doesn't matter. Freedom is what's important. ""As you see, I carry a mobile,"" he said, pointing to a phone in his pocket. ""You couldn't carry a mobile about two weeks ago."" That is something many people in different parts of Khartoum have said to me - mobile telephones were a lifeline to the outside world, and a prime target for theft by RSF fighters.

Barbara Plett Usher / BBC Despite feeling hungry Khartoum resident Kasim Agra is revelling in the feeling of freedom, carrying a mobile phone - and is hopeful the city will be rebuilt

Mr Agra was optimistic that Khartoum, and the country, could recover. ""I think the government is going to bring investors: Americans, Saudis, Canadians, Chinese, they're going to rebuild this country, I believe."" Even if such massive reconstruction takes place, it is hard to imagine Khartoum retaining its distinct cultural and architectural features. Several of the women also echoed something I have repeatedly heard elsewhere - they can finally sleep again, after lying awake nights afraid that RSF looters would break in. The weight of fear and loss is heavy: so many stories of abuse, of life endangered and disrupted.

Barbara Plett Usher / BBC Rebuilding Khartoum will be a mammoth task - and the psychological impact on its residents will also be a challange

""Our children are traumatised,"" says Najwa Ibrahim. ""They need psychiatrists to help them. My sister's a teacher and tried to work with the children, but it's not enough."" Ms Tariq also has questions about the impact of the war: ""When will the city be accessible again, open again? ""And another personal question as an activist, what will happen to all the freedoms and rights that we gained over the past five years of revolution?"" she asked, referring to the years that followed the ousting of Bashir when a joint civilian-military government had been working towards a return to civilian rule. ""How will it be again for civil society, actors, for activists, for freedom fighters? I'm not sure of our future now."" No-one is sure of Sudan's future. ""We pray for the people of Darfur,"" 16-year-old Hawaa Abdulshafiea said, referring to the western stronghold of the RSF, where the humanitarian crisis has been worst, and where the focus of the war is expected to shift. ""May God protect them.""

You may also be interested in:

Getty Images/BBC","BBC finds fear, loss and hope in Sudan's ruined capital after army victory

2 hours ago Share Save Barbara Plett Usher BBC News, Khartoum Share Save

Barbara Plett Usher / BBC

The battered heart of K..."
US prosecutors to seek death penalty for Luigi Mangione,https://www.bbc.com/news/articles/c30qlr528elo,"Tue, 01 Apr 2025 18:34:50 GMT",BBC World News,General,"US prosecutors to seek death penalty for Luigi Mangione

15 minutes ago Share Save Brandon Drenon BBC News, Washington DC Share Save

Watch: Luigi Mangione is arraigned in New York earlier this year

US prosecutors will seek the death penalty for Luigi Mangione, the man accused of shooting dead UnitedHealthcare CEO Brian Thompson in December. Attorney General Pam Bondi said in a statement on Tuesday that she had directed federal prosecutors to seek the penalty for the ""premeditated, cold-blooded assassination"". Mr Thompson was shot dead outside a hotel in New York on 4 December. Police arrested Mr Mangione, 26, days later in Pennsylvania after a nationwide manhunt. He has pleaded not guilty to state charges, and has yet to enter a plea for separate federal charges. He is currently awaiting trial in a New York prison.

In the press release, Bondi said Mr Thompson's murder ""was an act of political violence"" and that it ""may have posed grave risk of death to additional persons"" nearby. Investigators say Mr Mangione was motivated to kill Mr Thompson, 50, because of anger with US healthcare insurance companies. A lawyer for Mr Mangione called the decision ""barbaric"", accused the government of ""defending the broken, immoral, and murderous healthcare industry"", and said Mr Mangione was caught in a tug-of-war between state and federal prosecutors. ""While claiming to protect against murder, the federal government moves to commit the pre-meditated, state-sponsored murder of Luigi,"" said Karen Friedman Agnifilo in a statement. Mr Mangione is facing 11 state criminal counts in New York, including first-degree murder and murder as a crime of terrorism. If convicted of all the counts, he would face a mandatory sentence of life in prison without the possibility of parole. But federal prosecutors have also separately charged Mr Mangione for using a firearm to commit murder and interstate stalking resulting in death. These charges make him eligible for the death penalty. Prosecutors have said the federal and state cases will move forward parallel with one another.

EPA Mr Thompson was named chief executive of UnitedHealthcare - the largest private insurer in the US - in April 2021","US prosecutors to seek death penalty for Luigi Mangione

15 minutes ago Share Save Brandon Drenon BBC News, Washington DC Share Save

Watch: Luigi Mangione is arraigned in New York earlier this year

..."
France's far right calls for Paris rally in support of Le Pen,https://www.bbc.com/news/articles/czd31gm82gno,"Tue, 01 Apr 2025 17:35:39 GMT",BBC World News,General,"France's far right calls for Paris rally in support of Le Pen

Jordan Bardella (R) said a rally would take place in the centre of Paris on Sunday

The Paris Court of Appeal said on Tuesday it should be able to provide a decision on the case by the summer of 2026 - several months ahead of the 2027 election.

Bardella, the president of the National Rally (RN) party, said the French had to be ""outraged"" by the sentence.

Le Pen's bid to become France's next president in 2027 was dealt a dramatic blow on Monday, when judges said she had been at the heart of an operation which saw the embezzlement of €2.9m ($3.4m; £2.5m) of EU funds between 2004 and 2016.

French far-right leader Jordan Bardella has called on people to rally in the centre of Paris on Sunday in protest at a ruling that has banned Marine Le Pen from running for public office for five years.

""We'll take to the streets this weekend,"" Bardella said during a press conference on Tuesday, with a call for ""democratic, peaceful, calm mobilisations"". The first event is planned for Place Vauban close to the Eiffel Tower on Sunday.

Sitting beside him, Le Pen said a ""nuclear bomb"" had been used used against the RN to stop the party getting into power.

The longtime figurehead of the French far right added that the ""system"" had used a ""powerful weapon"" against the RN, ""evidently because we are about to win the elections"".

""We won't let them get away with it,"" she added. People had to use their ""outrage and hurt"" to motivate them to persevere: ""We will hold on until the end, until victory.""

Earlier on Tuesday, Bardella condemned the ""tyranny of the judges"" and said that ""everything was being done to stop us from getting to power"".

He also criticised the insults that the judges have received since handing down the sentence on Monday, as did Le Pen, who said any threats to magistrates were ""unacceptable"".

They were echoing Rémy Heitz, the prosecutor general at the Court of Cassation - the highest court in France - who said earlier on Tuesday that there had been ""very personalised attacks"" and threats against the three judges who had determined Monday's verdicts.

Citing a police source, newspaper Le Figaro reported that Bénédicte de Perthuis, the president judge in the Le Pen case, had been placed under protection following threats.

Le Pen was gearing up to run for the presidency for a fourth time and had a good chance of winning. She is clearly reluctant to hand the baton to Jordan Bardella, who at 29 is seen by some as lacking the experience necessary to hold France's highest office.

Since she has been ruled ineligible, Le Pen has said she will not ""let herself be eliminated like this"". Bardella has steered clear of being drawn into the discussion at this stage, refusing to say whether he was National Rally's ""plan B"".

However, RN spokesman Laurent Jacobelli said that although the party would fight to have Le Pen as candidate, Bardella was ""the most naturally legitimate"" alternative.

Voters may agree. A poll published a day before Le Pen was sentenced showed that around 60% of RN voters would back Bardella over Le Pen at the presidential election if he were to run, and that he would come out top with up to 36% of the total vote.

Le Pen has garnered the support of several rightwingers in Europe and beyond, including Hungary's Viktor Orban and US President Donald Trump, who said her conviction was a ""very big deal"".

And Italian Prime Minister Giorgia Meloni said ""no-one who cares about democracy can rejoice at a sentence that... deprives millions of citizens of representation"".

On top of the ban on running for public office, Le Pen was also handed a €100,000 (£82,635) fine and four-year prison sentence, of which two will be suspended.

This will not apply until the appeals process is exhausted, which could take several years.","France's far right calls for Paris rally in support of Le Pen

Jordan Bardella (R) said a rally would take place in the centre of Paris on Sunday

The Paris Court of Appeal said on Tuesday it should b..."
Putin begins biggest Russian military call-up in years,https://www.bbc.com/news/articles/c36718p52eyo,"Tue, 01 Apr 2025 16:42:21 GMT",BBC World News,General,"Putin begins biggest Russian military call-up in years

Vladimir Putin was pictured last month reportedly visiting the Russian border region of Kursk in military fatigues

Vice Adm Vladimir Tsimlyansky said the new conscripts would not be sent to fight in Ukraine for what Russia calls its ""special military operation"".

That is a rise of 180,000 over the coming three years.

The spring call-up for a year's military service came several months after Putin said Russia should increase the overall size of its military to almost 2.39 million and its number of active servicemen to 1.5 million.

President Vladimir Putin has called up 160,000 men aged 18-30, Russia's highest number of conscripts since 2011, as the country moves to expand the size of its military.

However, there have been reports of conscripts being killed in fighting in Russia's border regions and they were sent to fight in Ukraine in the early months of the full-scale war.

The current draft, which takes place between April and July, comes despite US attempts to forge a ceasefire in the war.

There was no let-up in the violence on Tuesday, with Ukraine saying that a Russian attack on a power facility in the southern city of Kherson had left 45,000 people without electricity.

Although Russia has turned down a full US-brokered ceasefire with Ukraine, it says it did agree to stop attacking Ukraine's energy facilities. In an apparent attempt to deny Moscow had broken the terms of that deal, Russian officials said they had told Putin that Ukrainian drones had carried out attacks with little sign of a break.

Russia calls up conscripts in the spring and autumn but the latest draft of 160,000 young men is 10,000 higher than the same period in 2024.

Since the start of last year, the pool of young men available for the draft has been increased by raising the maximum age from 27 to 30.

As well as call-up notices delivered by post, Russia's young men will be receiving notifications on the state services website Gosuslugi.

In Moscow there were reports that call-ups had already been sent out on 1 April via the mos.ru city website.

Increasing numbers of Russians are trying to avoid the army by taking on ""alternative civilian service"". But human rights lawyer Timofey Vaskin warned on independent Russian media that every new call-up since the start of the war had become a lottery: ""Authorities are coming up with new forms of refilling the army.""

Quite apart from its twice-yearly draft, Russia has also called up large numbers of men as contract soldiers and recruited thousands of soldiers from North Korea.

Moscow has had to respond to extensive losses in Ukraine, with more than 100,000 verified by the BBC and Mediazona as soldiers killed in Ukraine.

The true number could be more than double.

Putin has scaled up the size of the military three times since he ordered troops to capture Ukraine in February 2022.

Russia's defence ministry linked the December 2023 increase in the size of the military to ""growing threats"" from both the war in Ukraine and the ""ongoing expansion of Nato"".

Nato has expanded to include Finland and Sweden, as a direct result of Russia's invasion of Ukraine.

Finland has Nato's longest border with Russia, at 1,343km (834 miles) and Prime Minister Petteri Orpo said on Tuesday that his country would join other states neighbouring Russia in pulling out of the Ottawa convention banning anti-personnel mines.

Poland and the Baltic states made similar decisions two weeks ago because of the military threat from Russia.

Orpo said the decision to resume using anti-personnel mines was based on military advice, and that the people of Finland had nothing to worry about.

The government in Helsinki also said defence spending would be increased to 3% of economic output (GDP), up from 2.4% last year.","Putin begins biggest Russian military call-up in years

Vladimir Putin was pictured last month reportedly visiting the Russian border region of Kursk in military fatigues

Vice Adm Vladimir Tsimlyansk..."
Israel PM attacks Qatar probe as 'witch hunt' after aides arrested,https://www.bbc.com/news/articles/c3ev9xq0408o,"Tue, 01 Apr 2025 17:43:53 GMT",BBC World News,General,"Israel PM attacks Qatar probe as 'witch hunt' after aides arrested

1 hour ago Share Save David Gritten BBC News Share Save

EPA Israeli Prime Minister Benjamin Netanyahu accused the police of holding the two men as ""hostages""

Israeli Prime Minister Benjamin Netanyahu has denounced an investigation into possible links between his aides and Qatar as a ""witch hunt"", after he gave testimony to police. An adviser and a former spokesman were arrested on Monday over alleged payments from the Gulf Arab state as part of the probe, which has been dubbed ""Qatar-gate"". They have denied any wrongdoing. Netanyahu, who has not been named as a suspect, accused the police of holding the two men as ""hostages"", adding: ""There is no case."" A Qatari official also dismissed the probe as a ""smear campaign"" against Qatar, which has played a key role as a mediator between Israel and Hamas during the war in Gaza.

It comes as Netanyahu faces escalating protests in Israel over his policies, including the resumption of Israel's offensive against Hamas before securing the release of all the remaining hostages, the dismissal of the director of the Shin Bet internal security agency, and the advancement of a controversial plan to overhaul the judiciary.

On Monday, Israel's police force announced that two suspects had been detained as part of an investigation into ties between the prime minister's office and Qatar. It provided no further details, citing a court-imposed gag order on the case. Israeli media reports subsequently identified them as Yonatan Urich, a very close adviser to Netanyahu, and Eli Feldstein, a former spokesman in the prime minister's office, and said they were suspected of contact with a foreign agent, money laundering, bribery, fraud, and breach of trust. Netanyahu later cut short an appearance at his separate trial on corruption charges, which he denies, to provide recorded testimony to police investigating the case at his office in Jerusalem. After being questioned, Netanyahu posted a video online in which he condemned both the arrests and the wider investigation. ""I understood that it was a political investigation but I didn't realise how political it was,"" he said. ""They are holding Jonatan Urich and Eli Feldstein as hostages, making their lives miserable over nothing."" ""There is no case, there is absolutely nothing, just a political witch hunt, nothing else."" The prime minister's Likud party also issued a statement accusing the attorney general's office and the Shin Bet chief of ""fabricating"" the case and attempting to ""terrorise Yonatan Urich in order to extract from him false testimony against the prime minister through blackmail"". On Tuesday, a judge at Rishon LeZion Magistrates' Court extended Urich and Feldstein's detention by three days, saying there were ""reasonable suspicions"" that required a thorough investigation. The police had requested a nine-day extension. Judge Menahem Mizrahi said in a decision that investigators suspected that the two men had acted to ""promote Qatar in a positive light"" and ""spread negative messages about Egypt"" and its role as another mediator in the Gaza ceasefire talks. For this purpose, the judge said, a ""business and economic connection"" was created between a US lobbying firm working for Qatar ""through the mediation of [Urich] in return for monetary payments which were passed to [Feldstein]"" through an Israeli businessman. Last week, Israeli media published a recording in which the businessman was heard saying that he had transferred funds to Feldstein on behalf of a US lobbyist working for Qatar. At the time, Feldstein's lawyers said the payments were ""for strategic and communications services Feldstein provided to the prime minister's office, not for Qatar"". They also said Feldstein was not aware of any connection between the businessman and other parties, including Qatar. Ulrich's lawyers said he denied involvement. A police representative told Judge Mizrahi on Tuesday that Urich was also suspected of passing journalists messages from a source linked to Qatar, which were presented as if they came from senior Israeli political or security officials. Ulrich's legal team, which includes Netanyahu's defence lawyer Amit Hadad, said they would submit a request to lift the gag order on the case to expose ""the injustice done to him"". The judge went on to approve the request, saying the gag order had been repeatedly violated.","Israel PM attacks Qatar probe as 'witch hunt' after aides arrested

1 hour ago Share Save David Gritten BBC News Share Save

EPA Israeli Prime Minister Benjamin Netanyahu accused the police of holding..."
U.N. Accuses Israel of Killing 15 Rescue Workers in Gaza,https://www.nytimes.com/2025/04/01/world/middleeast/israel-un-workers-gaza.html,"Tue, 01 Apr 2025 16:58:45 +0000",The New York Times,General,"As Israeli forces advanced on the southern Gaza city of Rafah before dawn last Sunday, an ambulance crew set out to evacuate civilians wounded by Israeli shelling. But the ambulance and its crew were hit on the way.

Several more ambulances and a fire truck headed to the scene over the next few hours to rescue them, according to the Palestine Red Crescent Society, as did a U.N. vehicle, the United Nations said. Seventeen people were dispatched in total.

Then they all went silent.

It took five days for the United Nations and Red Crescent to negotiate with the Israeli military for safe passage to search for the missing people. After receiving clearance, U.N. officials said, the retrieval team found 15 dead, most of their bodies dumped in a mass grave.

On Sunday, the United Nations said Israel had killed them — a rare accusation by the organization, which is typically cautious about assigning clear blame.","As Israeli forces advanced on the southern Gaza city of Rafah before dawn last Sunday, an ambulance crew set out to evacuate civilians wounded by Israeli shelling. But the ambulance and its crew were ..."
"The Irving Family Provides Many Jobs to a Canadian Province, But Also Draws Concerns",https://www.nytimes.com/2025/04/01/world/canada/irving-family-canada-oil-environment.html,"Tue, 01 Apr 2025 15:22:34 +0000",The New York Times,General,"Even in a frequently fogbound port city along the Atlantic Ocean, the billowing clouds of steam rising from Canada’s largest oil refinery over Saint John, New Brunswick, are impossible to miss.

On a ridge overlooking the refinery sit six enormous tanks, each containing one million barrels of crude oil. Letters painted in dark blue spell “Irving,” the family whose businesses dominate not only Saint John, but most of New Brunswick.

The larger of the Irvings’ two local paper mills looms above the Saint John River like a medieval fortress. Irving-owned railway tracks crisscross the city, linking smaller factories owned by the family to ports under Irving control. Irving-owned building-supply stores and gas stations dot the streets in this city of 78,000 people, where park signs honor Irving contributions to their upkeep.","Even in a frequently fogbound port city along the Atlantic Ocean, the billowing clouds of steam rising from Canada’s largest oil refinery over Saint John, New Brunswick, are impossible to miss.

On a ..."
France’s Parliament Is Set to Debate Changing Rape Law to Include Consent,https://www.nytimes.com/2025/04/01/france-parliament-consent-rape-law.html,"Tue, 01 Apr 2025 18:17:03 +0000",The New York Times,General,"Many countries require that consent be given before sex — and have written that into their rape laws. France is not among them.

Now, two lawmakers hope to change that. Debate has begun on their bill, and a vote, in the powerful lower house of the French Parliament, is expected on Tuesday.

Their cause has gained traction after a horrific trial last fall in which dozens of men were convicted of raping Gisèle Pelicot while she was in a deeply drugged state.

If the bill passes, it would then go to the Senate.

Here is some background on why the change is being suggested and who objects.","Many countries require that consent be given before sex — and have written that into their rape laws. France is not among them.

Now, two lawmakers hope to change that. Debate has begun on their bill,..."
Druse Militia Refuse to Join Syria’s New Army,https://www.nytimes.com/2025/04/01/world/middleeast/syria-israel-border.html,"Tue, 01 Apr 2025 09:00:38 +0000",The New York Times,General,"Since January, several of the strongest Druse militias had been in talks with the government about their conditions for joining the new army. They were skeptical over the interim president’s pledges to protect the rights of Syria’s many religious and ethnic minorities.

Those talks stalled last month after an outburst of violence against another religious minority, heightening the concerns of the Druse. The violence began with an attack by remnants of the old regime on the new government’s security forces in a region dominated by the Alawite sect, an offshoot of Shiite Islam. Mr. al-Assad’s family are Alawites, and during the family’s five decades ruling Syria, they often prioritized members of the sect in security and military jobs.

The government responded by mobilizing its security forces, which other armed groups and armed civilians joined, according to witnesses and rights groups. These fighters — some nominally under the government’s control and others outside it — killed hundreds of Alawite civilians in what the rights groups said were sectarian-driven attacks.

Druse militia leaders have also accused the interim president, Ahmed al-Shara, of monopolizing power. Mr. al-Shara and many in his cohort were part of an Islamist rebel group, dominated by members of Syria’s Sunni Muslim majority, that was once linked to Al Qaeda. They showed little willingness initially to cede power in their new government to minorities.","Since January, several of the strongest Druse militias had been in talks with the government about their conditions for joining the new army. They were skeptical over the interim president’s pledges t..."
Netanyahu Drops Nominee for Spy Chief After Backlash,https://www.nytimes.com/2025/04/01/world/middleeast/israel-netanyahu-trump-shin-bet.html,"Tue, 01 Apr 2025 16:45:22 +0000",The New York Times,General,"Prime Minister Benjamin Netanyahu of Israel backed away from his nominee for the head of Israel’s domestic intelligence service on Tuesday after conservative allies attacked him for criticizing President Trump and Israeli media reported that he had protested judicial overhauls pushed by the government.

Mr. Netanyahu had backed Eli Sharvit, a former commander of Israel’s navy, to lead the Shin Bet intelligence agency after he dismissed his predecessor, Ronen Bar. But the Israeli leader dropped Mr. Sharvit a day after the Monday announcement amid a backlash from the right, partly because he had written a column two months ago criticizing Mr. Trump for rolling back policies to fight climate change.

Mr. Netanyahu’s office said that he had met with Mr. Sharvit to inform him that he would pursue other candidates for the job, without specifying a reason. As the country’s domestic security agency, The Shin Bet plays a key role in the war in Gaza and Israel’s decades-long occupation of the West Bank.

Mr. Netanyahu removed Mr. Bar from the post last month, saying he could no longer trust him. Critics called the move an attempt by Mr. Netanyahu to purge dissenting views from the top ranks of Israel’s security establishment and the decision prompted protests.",Prime Minister Benjamin Netanyahu of Israel backed away from his nominee for the head of Israel’s domestic intelligence service on Tuesday after conservative allies attacked him for criticizing Presid...
